SampleID,Orig_Bronchial_Prop,Recon_Bronchial_Prop,Delta_Bronchial,Orig_Alveolar_Prop,Recon_Alveolar_Prop,Delta_Alveolar,Biological_Identity_Preserved
S_000,0.461,0.466,0.0048,0.539,0.534,0.0048,Yes
S_001,0.499,0.539,0.0399,0.501,0.461,0.0399,Yes
S_002,0.12,0.1,0.0199,0.88,0.9,0.0199,Yes
S_003,0.22,0.224,0.0039,0.78,0.776,0.0039,Yes
S_004,0.58,0.557,0.0227,0.42,0.443,0.0227,Yes
S_005,0.684,0.684,0.0,0.316,0.316,0.0,Yes
S_006,0.315,0.335,0.0205,0.685,0.665,0.0205,Yes
S_007,0.726,0.722,0.0031,0.274,0.278,0.0031,Yes
S_008,0.605,0.604,0.0006,0.395,0.396,0.0006,Yes
S_009,0.233,0.246,0.013,0.767,0.754,0.013,Yes
S_010,0.488,0.531,0.0431,0.512,0.469,0.0431,Yes
S_011,0.346,0.334,0.0122,0.654,0.666,0.0122,Yes
S_012,0.227,0.212,0.0151,0.773,0.788,0.0151,Yes
S_013,0.65,0.643,0.0069,0.35,0.357,0.0069,Yes
S_014,0.776,0.779,0.0029,0.224,0.221,0.0029,Yes
S_015,0.263,0.253,0.0096,0.737,0.747,0.0096,Yes
S_016,0.158,0.17,0.0112,0.842,0.83,0.0112,Yes
S_017,0.522,0.543,0.0205,0.478,0.457,0.0205,Yes
S_018,0.61,0.592,0.0185,0.39,0.408,0.0185,Yes
S_019,0.293,0.331,0.0373,0.707,0.669,0.0373,Yes
S_020,0.58,0.557,0.0227,0.42,0.443,0.0227,Yes
S_021,0.463,0.475,0.0122,0.537,0.525,0.0122,Yes
S_022,0.134,0.142,0.0077,0.866,0.858,0.0077,Yes
S_023,0.197,0.238,0.0417,0.803,0.762,0.0417,Yes
S_024,0.231,0.223,0.0075,0.769,0.777,0.0075,Yes
S_025,0.796,0.801,0.0046,0.204,0.199,0.0046,Yes
S_026,0.464,0.478,0.0136,0.536,0.522,0.0136,Yes
S_027,0.505,0.526,0.0207,0.495,0.474,0.0207,Yes
S_028,0.614,0.614,0.0006,0.386,0.386,0.0006,Yes
S_029,0.479,0.518,0.0388,0.521,0.482,0.0388,Yes
S_030,0.739,0.719,0.0201,0.261,0.281,0.0201,Yes
S_031,0.666,0.651,0.0148,0.334,0.349,0.0148,Yes
S_032,0.382,0.386,0.0037,0.618,0.614,0.0037,Yes
S_033,0.35,0.335,0.0147,0.65,0.665,0.0147,Yes
S_034,0.767,0.739,0.0277,0.233,0.261,0.0277,Yes
S_035,0.341,0.37,0.0296,0.659,0.63,0.0296,Yes
S_036,0.706,0.725,0.0192,0.294,0.275,0.0192,Yes
S_037,0.681,0.638,0.0428,0.319,0.362,0.0428,Yes
S_038,0.477,0.497,0.0199,0.523,0.503,0.0199,Yes
S_039,0.746,0.77,0.0238,0.254,0.23,0.0238,Yes
S_040,0.168,0.147,0.0209,0.832,0.853,0.0209,Yes
S_041,0.172,0.198,0.0259,0.828,0.802,0.0259,Yes
S_042,0.591,0.562,0.0294,0.409,0.438,0.0294,Yes
S_043,0.723,0.713,0.0099,0.277,0.287,0.0099,Yes
S_044,0.212,0.208,0.0033,0.788,0.792,0.0033,Yes
S_045,0.293,0.303,0.0097,0.707,0.697,0.0097,Yes
S_046,0.571,0.579,0.0078,0.429,0.421,0.0078,Yes
S_047,0.215,0.219,0.0044,0.785,0.781,0.0044,Yes
S_048,0.591,0.574,0.0171,0.409,0.426,0.0171,Yes
S_049,0.441,0.472,0.0308,0.559,0.528,0.0308,Yes
