SampleID,Inferred_MMAD_um,Size_Class,Likely_Source,Deposition_Head,Deposition_TB,Deposition_Alveolar,Deposition_Exhaled,Bio_Tissue_Airway,Bio_Tissue_Alveolar,Phys_Rel_Dose_Airway,Alignment_Status
PBA_001,0.51,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.112,0.139,0.201,0.547,0.409,0.591,0.409,Consistent
PBA_002,2.16,Fine (Dust Mode),Bacteria / Fine Dust,0.469,0.273,0.205,0.052,0.558,0.442,0.571,Consistent
PBA_003,2.92,Coarse,Pollen / Coarse Dust,0.678,0.03,0.099,0.193,0.138,0.862,0.233,Consistent
PBA_004,1.19,Fine (Dust Mode),Bacteria / Fine Dust,0.448,0.345,0.157,0.05,0.545,0.455,0.688,Consistent
PBA_005,0.42,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.063,0.078,0.222,0.637,0.18,0.82,0.261,Consistent
PBA_006,4.97,Coarse,Pollen / Coarse Dust,0.716,0.098,0.108,0.079,0.461,0.539,0.476,Mismatch
PBA_007,0.67,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.1,0.079,0.182,0.639,0.244,0.756,0.303,Consistent
PBA_008,0.41,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.092,0.151,0.161,0.597,0.504,0.496,0.485,Mismatch
PBA_009,1.72,Fine (Dust Mode),Bacteria / Fine Dust,0.497,0.299,0.099,0.105,0.758,0.242,0.751,Consistent
PBA_010,0.27,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.245,0.061,0.195,0.499,0.238,0.762,0.237,Consistent
PBA_011,0.48,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.105,0.105,0.127,0.663,0.539,0.461,0.453,Consistent
PBA_012,1.38,Fine (Dust Mode),Bacteria / Fine Dust,0.41,0.247,0.021,0.322,0.829,0.171,0.923,Consistent
PBA_013,1.1,Fine (Dust Mode),Bacteria / Fine Dust,0.298,0.367,0.121,0.214,0.604,0.396,0.753,Consistent
PBA_014,0.48,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.1,0.103,0.204,0.593,0.452,0.548,0.335,Consistent
PBA_015,0.41,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.11,0.156,0.209,0.525,0.285,0.715,0.428,Consistent
PBA_016,1.72,Fine (Dust Mode),Bacteria / Fine Dust,0.406,0.289,0.158,0.148,0.643,0.357,0.647,Consistent
PBA_017,1.23,Fine (Dust Mode),Bacteria / Fine Dust,0.351,0.353,0.152,0.143,0.489,0.511,0.699,Consistent
PBA_018,3.78,Coarse,Pollen / Coarse Dust,0.736,0.044,0.083,0.137,0.642,0.358,0.348,Mismatch
PBA_019,1.12,Fine (Dust Mode),Bacteria / Fine Dust,0.4,0.301,0.033,0.266,0.857,0.143,0.9,Consistent
PBA_020,0.83,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.085,0.102,0.214,0.599,0.829,0.171,0.323,Mismatch
PBA_021,1.03,Fine (Dust Mode),Bacteria / Fine Dust,0.395,0.308,0.095,0.201,0.874,0.126,0.764,Consistent
PBA_022,0.68,Fine (Accumulation Mode),Tobacco Smoke / Smog,0.088,0.117,0.236,0.559,0.384,0.616,0.332,Consistent
PBA_023,1.31,Fine (Dust Mode),Bacteria / Fine Dust,0.381,0.227,0.07,0.322,0.702,0.298,0.765,Consistent
