Sample,Bio_Bronchial,Phys_Bronchial,Bio_Alveolar,Phys_Alveolar,Delta_Bronch,Status
S_001,0.6,0.64,0.4,0.36,0.04,Match
S_002,0.45,0.38,0.55,0.62,0.06,Match
S_003,0.83,0.81,0.17,0.19,0.02,Match
S_004,0.3,0.32,0.7,0.68,0.02,Match
S_005,0.22,0.14,0.78,0.86,0.08,Match
S_006,0.86,0.83,0.14,0.17,0.02,Match
S_007,0.48,0.48,0.52,0.52,0.0,Match
S_008,0.79,0.1,0.21,0.9,0.68,Deviant
S_009,0.42,0.49,0.58,0.51,0.07,Match
S_010,0.13,0.77,0.87,0.23,0.64,Deviant
S_011,0.24,0.72,0.76,0.28,0.47,Deviant
S_012,0.27,0.38,0.73,0.62,0.1,Match
S_013,0.34,0.39,0.66,0.61,0.05,Match
S_014,0.75,0.68,0.25,0.32,0.07,Match
S_015,0.65,0.63,0.35,0.37,0.02,Match
S_016,0.57,0.58,0.43,0.42,0.02,Match
S_017,0.64,0.68,0.36,0.32,0.04,Match
S_018,0.69,0.66,0.31,0.34,0.03,Match
S_019,0.11,0.11,0.89,0.89,0.0,Match
S_020,0.76,0.66,0.24,0.34,0.1,Match
