Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	RPI12_S5	RPI44_S20	RPI30_S11	RPI47_S22	RPI8_S3	RPI10_S4	RPI45_S21	RPI5_S2	RPI1_S1	RPI25_S7	RPI27_S9	RPI29_S10	RPI32_S13	RPI38_S15	RPI36_S14	RPI43_S19	RPI26_S8	RPI42_S18	RPI31_S12	RPI39_S16	RPI40_S17	RPI16_S6
18	28522841	28527254	+	1700066B19Rik	protein_coding	1700066B19Rik	ensembl	5.98122	3.97465	5.88523	3.95787	9.72213	2.77641	0.909852	9.47298	8.23663	4.49015	2.86397	2.7905	4.6912	7.45561	4.12722	3.87486	3.07815	4.33766	0	7.22258	5.72443	3.32668
4	128264118	128266083	-	1700123L14Rik	protein_coding	1700123L14Rik	ensembl	1.99374	3.97465	1.96174	0	1.08024	3.70188	0	1.05255	1.64733	1.12254	0	0.930168	2.81472	0	2.06361	0	1.02605	0	2.922	3.61129	0.954072	0
6	27643009	27643306	+	3110082J24Rik	protein_coding	3110082J24Rik	ensembl	0	0	0	0	0	0.925469	0	0	0	0	0	7.43E-15	0	1.06509	1.0318	0	1.56199	0	0.973999	1.20376	1.90814	1.10889
5	2654065	2663454	+	4930444P10Rik	protein_coding	4930444P10Rik	ensembl	2.99061	6.35945	7.84697	2.9684	5.40118	1.85094	7.27882	11.5781	6.5893	11.2254	2.86397	11.162	6.56767	6.39052	3.09541	1.93743	6.1563	1.08442	8.76599	1.20376	4.77036	5.54447
X	25737292	25738156	+	4933400A11Rik	protein_coding	4933400A11Rik	ensembl	0	0	0	0.989467	2.16047	0	0	0	0	0	0	0.930168	0	0	0	0	1.02605	0	1.948	1.20376	0.954072	1.10889
X	83597265	83601549	+	4933403O08Rik	protein_coding	4933403O08Rik	ensembl	1.99374	3.17972	8.82784	7.91574	4.32094	3.70188	6.36896	9.47298	6.5893	3.36761	12.4105	8.37151	4.6912	9.58579	6.19083	0.968714	12.3126	10.8442	2.922	2.40753	13.357	12.1978
2	211246068	211322720	-	5330417C22Rik	protein_coding	5330417C22Rik	ensembl	1387.64	1113.7	1390.88	1107.21	1279	1275.3	1197.37	1402	1416.7	1308.88	1271.6	1468.74	1164.35	1375.03	1121.57	1349.42	1396.45	1120.2	1338.28	867.914	1406.3	1627.85
4	8007758	153099387	+	5S_rRNA	rRNA	5S_rRNA	ensembl	155.512	272.661	229.524	296.841	85.3387	255.429	339.375	202.09	134.257	257.061	167.065	137.665	190.463	207.692	218.743	241.21	153.908	450.032	250.318	403.261	250.921	174.096
2	409772	197210036	-	5_8S_rRNA	rRNA	5_8S_rRNA	ensembl	296.783	483.551	492.401	763.737	210.337	405.755	577.502	326.893	301.695	538.338	357.043	359.576	484.537	431.816	416.849	471.491	267.653	890.789	681.389	1329.3	352.053	387.003
19	10729313	56323501	+	7SK	misc_RNA	7SK	ensembl	442.61	528.63	486.512	571.913	339.194	627.467	492.23	589.43	401.948	579.229	390.455	444.62	467.243	443.077	462.249	449.483	429.915	724.39	482.131	1003.94	402.619	505.655
4	154309426	154359138	+	A2m	protein_coding	A2m	ensembl	0.313592	20.6565	8.77281	16.8184	1.18936	1.31009	2.00353	8.39593	12.1945	11.2254	2.10219	0.877827	8.39151	1.34021	4.12721	15.0071	18.3731	10.7216	13.7155	16.8525	8.58665	8.84533
4	161866078	161907768	-	A2ml1	protein_coding	A2ml1	ensembl	0.996871	2.38479	0.980871	2.9684	0	0	0.909852	0	3.29465	0	2.86397	4.65084	2.81472	1.06509	1.0318	0.968714	0	0	3.896	6.01882	5.72443	0
